id,Bairro,Zona,Categoria_Risco,Altura_Maxima___Edificacao_Isolada,Coeficiente_de_Aproveitamento___Basico,Coeficiente_de_Aproveitamento___Maximo,Área_Minima_do_Lote,Testada_Minima_do_Lote,Modulo_de_Fracionamento,Face_Maxima_do_Quarteirao,Área_Maxima_do_Quarteirao,Área_Minima_do_Quarteirao,Enquadramento_Fracionamento,Área_de_Destinacao_Publica___Malha_Viaria_Fracionamento,Área_de_Destinacao_Publica___Equipamentos_Fracionamento,Enquadramento_Desmembramento_Tipo_1,Área_Publica___Malha_Viaria_Desmembramento_Tipo_1,Área_Publica___Equipamentos_Desmembramento_Tipo_1,Enquadramento_Desmembramento_Tipo_2,Área_Publica___Malha_Viaria_Desmembramento_Tipo_2,Área_Publica___Equipamentos_Desmembramento_Tipo_2,Enquadramento_Desmembramento_Tipo_3,Área_Publica___Malha_Viaria_Desmembramento_Tipo_3,Área_Publica___Equipamentos_Desmembramento_Tipo_3,Enquadramento_Loteamento,Área_Publica___Malha_Viaria_Loteamento,Área_Publica___Equipamentos_Loteamento,Coeficiente_de_Aproveitamento_Basico_+4D,Coeficiente_de_Aproveitamento_Maximo_+4D,Afastamentos___Frente,Afastamentos___Laterais,Afastamentos___Fundos,"Taxa_de_Permeabilidade_acima_de_1,500_m2","Taxa_de_Permeabilidade_ate_1,500_m2",Fator_de_Conversao_da_Taxa_de_Permeabilidade,Recuo_de_Jardim,Comercio_Varejista_Inocuo___Restricao_/_Porte,Comercio_Varejista_IA1___Restricao_/_Porte,Comercio_Varejista_IA2___Restricao_/_Porte,Comercio_Atacadista_IA1___Restricao_/_Porte,Comercio_Atacadista_IA2___Restricao_/_Porte,Comercio_Atacadista_IA3___Restricao_/_Porte,Servico_Inocuo___Restricao_/_Porte,Servico_IA1___Restricao_/_Porte,Servico_IA2___Restricao_/_Porte,Servico_IA3___Restricao_/_Porte,Industria_Inocua___Restricao_/_Porte,Industria_com_Interferência_Ambiental___Restricao_/_Porte,Nivel_de_Controle_de_Polarizacao_de_Entretenimento_Noturno,Unnamed:_49,Unnamed:_50
1,JARDIM SÃO PEDRO,ZOT 13,Protegido pelo Sistema Atual,60,"3,60","6,50",125.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,,4,S/L,S/L,S/L,S/L,S/L,S/L,S/L,S/L,S/L,S/L,300,,Nível 4,,
2,JARDIM SÃO PEDRO,ZOT 12,Protegido pelo Sistema Atual,60,"3,60","6,50",125.0,5,5.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,S/L,1500,S/L,S/L,S/L,S/L,300,1500.0,Nível 4,,
3,JARDIM SÃO PEDRO,ZOT 11,Protegido pelo Sistema Atual,42,"2,50","5,00",125.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,S/L,1500,S/L,S/L,S/L,S/L,300,1500.0,Nível 3,,
4,JARDIM SÃO PEDRO,ZOT 06,Protegido pelo Sistema Atual,42,"2,50","5,00",125.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1500.0,Nível 3,,
5,JARDIM FLORESTA,ZOT 13,Protegido pelo Sistema Atual,60,"3,60","6,50",125.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,S/L,S/L,S/L,S/L,S/L,S/L,300,,Nível 4,,
6,JARDIM FLORESTA,ZOT 06,Protegido pelo Sistema Atual,42,"2,50","5,00",125.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1500.0,Nível 3,,
7,ANCHIETA,ZOT 13,Protegido pelo Sistema Atual,60,"3,60","6,50",125.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,S/L,S/L,S/L,S/L,S/L,S/L,300,,Nível 4,,
8,ANCHIETA,ZOT 15,Protegido pelo Sistema Atual,9,"0,30","0,00",20.0,50,0.0,0,0,200000,0,Não se aplica,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,0,Não se aplica,Não se aplica,Isento,18% da altura total desde o RN,18% da altura total desde o RN,70,50,20.0,0,300,300,300,Proibido,Proibido,Proibido,300,S/L / 300,Proibido,Proibido,300,,Nível 1,,
9,RESTINGA,ZOT 04,Ocupação Acima da Cota de Inundação,18,"2,00","4,00",125.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",30,20,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1000.0,Nível 3,,
10,RESTINGA,ZOT 01,Ocupação Acima da Cota de Inundação,9,"1,50","2,50",150.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,Isento,Isento,40,30,30.0,4,S/L,1000,500,Proibido,Proibido,Proibido,S/L,1500,Proibido,Proibido,300,,Nível 2,,
11,RESTINGA,ZOT 02,Ocupação Acima da Cota de Inundação,9,"2,00","3,00",150.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,Isento,Isento,40,30,50.0,4,S/L,1500,1500,500,Proibido,Proibido,S/L,1500,Proibido,Proibido,300,,Nível 3,,
12,RESTINGA,ZOT 14,Ocupação Acima da Cota de Inundação,9,"0,50","0,00",20.0,50,0.0,0,0,200000,0,Não se aplica,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,0,Não se aplica,Não se aplica,Isento,18% da altura total desde o RN,18% da altura total desde o RN,60,40,20.0,0,300,300,300,Proibido,Proibido,Proibido,300,S/L / 300,Proibido,Proibido,300,,Nível 1,,
13,RESTINGA,ZOT 15,Ocupação Acima da Cota de Inundação,9,"0,30","0,00",20.0,50,0.0,0,0,200000,0,Não se aplica,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,0,Não se aplica,Não se aplica,Isento,18% da altura total desde o RN,18% da altura total desde o RN,70,50,20.0,0,300,300,300,Proibido,Proibido,Proibido,300,S/L / 300,Proibido,Proibido,300,,Nível 1,,
14,RESTINGA,ZOT 09,Ocupação Acima da Cota de Inundação,18,"2,00","4,00",125.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,S/L,1500,S/L,S/L,S/L,S/L,300,1500.0,Nível 3,,
15,HIGIENÓPOLIS,ZOT 07,Protegido pelo Sistema Atual,60,"3,60","6,50",125.0,5,5.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1500.0,Nível 4,,
16,HIGIENÓPOLIS,ZOT 08.3 - C,Protegido pelo Sistema Atual,90,"3,60","7,50",125.0,5,5.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1500.0,Nível 4,,
17,SÃO JOÃO,ZOT 07,Protegido pelo Sistema Atual,60,"3,60","6,50",125.0,5,5.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1500.0,Nível 4,,
18,SÃO JOÃO,ZOT 08.2 - A,Protegido pelo Sistema Atual,130,"3,60","7,50",125.0,5,5.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,"7,5",13,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,S/L,1500,S/L,S/L,S/L,Proibido,300,1500.0,Nível 4,,
19,SÃO JOÃO,ZOT 08.2 - B,Protegido pelo Sistema Atual,130,"3,60","7,50",125.0,5,5.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,"7,5",13,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,S/L,S/L,S/L,S/L,S/L,S/L,300,,Nível 4,,
20,SÃO JOÃO,ZOT 08.3 - C,Protegido pelo Sistema Atual,90,"3,60","7,50",125.0,5,5.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1500.0,Nível 4,,
21,SÃO JOÃO,ZOT 12,Protegido pelo Sistema Atual,60,"3,60","6,50",125.0,5,5.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,S/L,1500,S/L,S/L,S/L,S/L,300,1500.0,Nível 4,,
22,BELÉM NOVO,ZOT 14,Área de Estudo,9,"0,50","0,00",20.0,50,0.0,0,0,200000,0,Não se aplica,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,0,Não se aplica,Não se aplica,Isento,18% da altura total desde o RN,18% da altura total desde o RN,60,40,20.0,0,300,300,300,Proibido,Proibido,Proibido,300,S/L / 300,Proibido,Proibido,300,,Nível 1,,
23,BELÉM NOVO,ZOT 15,Área de Estudo,9,"0,30","0,00",20.0,50,0.0,0,0,200000,0,Não se aplica,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,0,Não se aplica,Não se aplica,Isento,18% da altura total desde o RN,18% da altura total desde o RN,70,50,20.0,0,300,300,300,Proibido,Proibido,Proibido,300,S/L / 300,Proibido,Proibido,300,,Nível 1,,
24,BELÉM NOVO,ZOT 02,Área de Estudo,9,"2,00","3,00",150.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,Isento,Isento,40,30,50.0,4,S/L,1500,1500,500,Proibido,Proibido,S/L,1500,Proibido,Proibido,300,,Nível 3,,
25,BELÉM NOVO,ZONA RURAL,Área de Estudo,0,"0,00","0,00",0.0,0,0.0,0,0,Conforme Lei ZR,0,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,0,Conforme Lei ZR,Conforme Lei ZR,0,Conforme Lei ZR,Conforme Lei ZR,0,Conforme Lei ZR,Conforme Lei ZR,0,0,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,0,0,0.0,0,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,0,,Conforme Lei ZR,,
26,BELÉM NOVO,ZOT 16,Área de Estudo,9,"0,30","0,00",20.0,50,0.0,0,0,200000,0,Não se aplica,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,0,Não se aplica,Não se aplica,Isento,18% da altura total desde o RN,18% da altura total desde o RN,70,50,20.0,0,300,300,300,Proibido,Proibido,Proibido,300,S/L / 300,Proibido,Proibido,300,,Nível 1,,
27,BELÉM NOVO,ZOT 09,Área de Estudo,18,"2,00","4,00",125.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,S/L,1500,S/L,S/L,S/L,S/L,300,1500.0,Nível 3,,
28,BOA VISTA DO SUL,ZONA RURAL,Área de Estudo,0,"0,00","0,00",0.0,0,0.0,0,0,Conforme Lei ZR,0,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,0,Conforme Lei ZR,Conforme Lei ZR,0,Conforme Lei ZR,Conforme Lei ZR,0,Conforme Lei ZR,Conforme Lei ZR,0,0,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,0,0,0.0,0,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,0,,Conforme Lei ZR,,
29,BOA VISTA DO SUL,ZOT 14,Área de Estudo,9,"0,50","0,00",20.0,50,0.0,0,0,200000,0,Não se aplica,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,0,Não se aplica,Não se aplica,Isento,18% da altura total desde o RN,18% da altura total desde o RN,60,40,20.0,0,300,300,300,Proibido,Proibido,Proibido,300,S/L / 300,Proibido,Proibido,300,,Nível 1,,
30,BOA VISTA DO SUL,ZOT 15,Área de Estudo,9,"0,30","0,00",20.0,50,0.0,0,0,200000,0,Não se aplica,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,0,Não se aplica,Não se aplica,Isento,18% da altura total desde o RN,18% da altura total desde o RN,70,50,20.0,0,300,300,300,Proibido,Proibido,Proibido,300,S/L / 300,Proibido,Proibido,300,,Nível 1,,
31,BOA VISTA DO SUL,ZOT 16,Área de Estudo,9,"0,30","0,00",20.0,50,0.0,0,0,200000,0,Não se aplica,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,0,Não se aplica,Não se aplica,Isento,18% da altura total desde o RN,18% da altura total desde o RN,70,50,20.0,0,300,300,300,Proibido,Proibido,Proibido,300,S/L / 300,Proibido,Proibido,300,,Nível 1,,
32,BOA VISTA DO SUL,ZOT 01,Área de Estudo,9,"1,50","2,50",150.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,Isento,Isento,40,30,30.0,4,S/L,1000,500,Proibido,Proibido,Proibido,S/L,1500,Proibido,Proibido,300,,Nível 2,,
33,SARANDI,ZOT 15,Protegido pelo Sistema Atual,9,"0,30","0,00",20.0,50,0.0,0,0,200000,0,Não se aplica,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,0,Não se aplica,Não se aplica,Isento,18% da altura total desde o RN,18% da altura total desde o RN,70,50,20.0,0,300,300,300,Proibido,Proibido,Proibido,300,S/L / 300,Proibido,Proibido,300,,Nível 1,,
34,SARANDI,ZOT 13,Protegido pelo Sistema Atual,60,"3,60","6,50",125.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,S/L,S/L,S/L,S/L,S/L,S/L,300,,Nível 4,,
35,SARANDI,ZOT 05,Protegido pelo Sistema Atual,33,"2,50","4,00",125.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1500.0,Nível 3,,
36,SARANDI,ZOT 06,Protegido pelo Sistema Atual,42,"2,50","5,00",125.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1500.0,Nível 3,,
37,SARANDI,ZOT 11,Protegido pelo Sistema Atual,42,"2,50","5,00",125.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,S/L,1500,S/L,S/L,S/L,S/L,300,1500.0,Nível 3,,
38,NAVEGANTES,ZOT 08.2 - B,Protegido pelo Sistema Atual,130,"3,60","7,50",125.0,5,5.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,"7,5",13,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,S/L,S/L,S/L,S/L,S/L,S/L,300,,Nível 4,,
39,JARDIM DO SALSO,ZOT 08.3 - B,Ocupação Acima da Cota de Inundação,90,"3,60","7,50",125.0,5,5.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1500.0,Nível 4,,
40,JARDIM DO SALSO,ZOT 08.3 - C,Ocupação Acima da Cota de Inundação,90,"3,60","7,50",125.0,5,5.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1500.0,Nível 4,,
41,JARDIM DO SALSO,ZOT 06,Ocupação Acima da Cota de Inundação,42,"2,50","5,00",125.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1500.0,Nível 3,,
42,JARDIM DO SALSO,ZOT 07,Ocupação Acima da Cota de Inundação,60,"3,60","6,50",125.0,5,5.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1500.0,Nível 4,,
43,FARRAPOS,ZOT 08.2 - B,Protegido pelo Sistema Atual,130,"3,60","7,50",125.0,5,5.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,"7,5",13,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,S/L,S/L,S/L,S/L,S/L,S/L,300,,Nível 4,,
44,FLORESTA,ZOT 08.2 - A,Protegido pelo Sistema Atual,130,"3,60","7,50",125.0,5,5.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,"7,5",13,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,S/L,1500,S/L,S/L,S/L,Proibido,300,1500.0,Nível 4,,
